Datetime,Measured & Upscaled,Most recent forecast,Monitored capacity,ShiftMeasured,Fluctuation15M,PredFluctuation15M,ShiftFluctuation15M
2022-01-01 06:15:00,1553.36,1798.82,2254.4,1580.7,-27.340000000000146,218.1199999999999,198.51999999999998
2022-01-01 06:30:00,1481.21,1806.33,2254.4,1553.36,-72.14999999999986,252.97000000000003,-27.340000000000146
2022-01-01 06:45:00,1450.71,1802.35,2254.4,1481.21,-30.5,321.1399999999999,-72.14999999999986
2022-01-01 07:00:00,1390.74,1804.48,2254.4,1450.71,-59.97000000000003,353.77,-30.5
2022-01-01 07:15:00,1463.81,1832.95,2254.4,1390.74,73.06999999999994,442.21000000000004,-59.97000000000003
2022-01-01 07:30:00,1486.0,1858.75,2254.4,1463.81,22.190000000000055,394.94000000000005,73.06999999999994
2022-01-01 07:45:00,1506.51,1872.27,2254.4,1486.0,20.50999999999999,386.27,22.190000000000055
2022-01-01 08:00:00,1423.47,1901.27,2254.4,1506.51,-83.03999999999996,394.76,20.50999999999999
2022-01-01 08:15:00,1429.36,1968.79,2254.4,1423.47,5.889999999999873,545.3199999999999,-83.03999999999996
2022-01-01 08:30:00,1447.02,2014.16,2254.4,1429.36,17.660000000000082,584.8000000000002,5.889999999999873
2022-01-01 08:45:00,1524.53,2041.75,2254.4,1447.02,77.50999999999999,594.73,17.660000000000082
2022-01-01 09:00:00,1670.07,2065.3,2254.4,1524.53,145.53999999999996,540.7700000000002,77.50999999999999
2022-01-01 09:15:00,1761.26,2079.0,2254.4,1670.07,91.19000000000005,408.93000000000006,145.53999999999996
2022-01-01 09:30:00,1743.06,2084.12,2254.4,1761.26,-18.200000000000045,322.8599999999999,91.19000000000005
2022-01-01 09:45:00,1864.51,2097.72,2254.4,1743.06,121.45000000000005,354.65999999999985,-18.200000000000045
2022-01-01 10:00:00,1956.11,2111.13,2254.4,1864.51,91.59999999999991,246.62000000000012,121.45000000000005
2022-01-01 10:15:00,2000.96,2121.95,2254.4,1956.11,44.850000000000136,165.83999999999992,91.59999999999991
2022-01-01 10:30:00,2046.81,2132.25,2254.4,2000.96,45.84999999999991,131.28999999999996,44.850000000000136
2022-01-01 10:45:00,2090.52,2134.06,2254.4,2046.81,43.710000000000036,87.25,45.84999999999991
2022-01-01 11:00:00,2141.58,2140.96,2254.4,2090.52,51.059999999999945,50.440000000000055,43.710000000000036
2022-01-01 11:15:00,2160.66,2140.6,2254.4,2141.58,19.079999999999927,-0.9800000000000182,51.059999999999945
2022-01-01 11:30:00,2162.01,2141.36,2254.4,2160.66,1.3500000000003638,-19.299999999999727,19.079999999999927
2022-01-01 11:45:00,2162.38,2145.31,2254.4,2162.01,0.36999999999989086,-16.700000000000273,1.3500000000003638
2022-01-01 12:00:00,2161.85,2147.96,2254.4,2162.38,-0.5300000000002001,-14.420000000000073,0.36999999999989086
2022-01-01 12:15:00,2164.84,2142.77,2254.4,2161.85,2.9900000000002365,-19.079999999999927,-0.5300000000002001
2022-01-01 12:30:00,2162.89,2137.77,2254.4,2164.84,-1.9500000000002728,-27.070000000000164,2.9900000000002365
2022-01-01 12:45:00,2155.55,2136.65,2254.4,2162.89,-7.339999999999691,-26.23999999999978,-1.9500000000002728
2022-01-01 13:00:00,2161.52,2118.6,2254.4,2155.55,5.9699999999998,-36.95000000000027,-7.339999999999691
2022-01-01 13:15:00,2164.77,2114.89,2254.4,2161.52,3.25,-46.63000000000011,5.9699999999998
2022-01-01 13:30:00,2167.06,2116.66,2254.4,2164.77,2.2899999999999636,-48.11000000000013,3.25
